Subject;NumberCorrectSlider;BDM;slider;internet2;age;male;study;semester
190;21;13;1;1;23;0;7;6
191;14;6;3;1;21;0;8;5
192;16;6;4;2;27;1;9;11
193;15;6;2;4;21;0;3;4
194;22;10;2;4;19;0;4;2
195;21;10;1;2;26;0;2;12
196;10;25;1;4;27;1;9;8
197;19;8;1;7;23;0;7;7
198;4;1;5;4;58;1;5;15
199;0;9;1;4;22;0;8;5
200;21;4;5;2;22;1;3;7
201;18;10;2;3;23;0;2;2
202;11;50;2;1;21;1;9;2
203;21;6;6;5;19;1;2;3
204;17;14;1;7;24;1;12;10
205;9;5;1;2;20;0;12;3
206;16;10;1;2;20;1;3;1
207;12;5;3;1;21;1;2;3
208;16;15;2;2;26;0;8;4
209;25;6;1;7;26;1;2;10
210;10;6;2;2;34;0;5;1
211;13;10;3;2;27;1;2;10
212;20;8;1;6;23;1;1;5
213;26;5;3;3;24;1;7;5
214;20;7;2;3;19;0;8;3
215;22;50;3;1;20;0;7;3
216;12;3;4;6;30;0;8;3
217;21;10;1;5;23;0;3;7
218;17;20;1;1;23;0;3;8
219;8;9;2;2;23;0;9;3
232;16;25;3;6;23;1;2;8
233;22;4;4;5;21;0;8;3
234;23;5;5;2;21;0;7;3
235;16;5;1;4;25;0;12;7
236;13;8;1;6;22;1;2;7
237;8;6;3;7;22;0;8;8
238;13;9;1;1;19;0;1;2
239;16;7;3;1;21;1;3;5
240;22;4;5;7;25;0;2;7
241;19;8;1;7;26;1;6;3
242;12;13;2;7;22;1;1;1
243;27;6;1;3;23;1;2;1
244;23;7;2;5;24;1;1;9
245;3;10;2;2;21;1;2;4
246;19;6;3;6;25;1;8;9
247;25;5;1;3;24;0;6;9
248;25;4;1;2;21;1;9;5
249;24;6;3;2;24;1;6;7
250;19;5;6;1;29;1;5;8
251;8;15;1;1;24;0;8;7
252;13;5;2;2;31;0;5;8
253;25;7;1;3;24;1;3;2
254;25;5;2;4;21;0;9;3
255;16;5;6;3;20;1;9;5
256;31;5;4;1;34;1;7;10
257;16;8;5;1;23;0;4;1
258;9;5;4;1;24;0;9;4
259;5;5;7;3;27;1;9;4
260;6;9;1;2;23;0;8;6
261;20;7;6;6;24;1;6;9
262;22;8;3;2;23;0;11;0
263;11;6;1;3;29;0;3;6
274;19;5;2;3;20;0;9;2
275;16;5;1;7;23;0;3;2
276;6;4;1;4;22;0;9;5
277;12;5;6;4;52;0;4;4
278;11;5;1;4;19;1;1;1
279;4;5;4;1;23;0;12;9
280;13;3;6;6;19;1;3;4
281;23;9;1;2;25;1;2;10
282;23;5;2;4;22;0;7;7
283;20;20;1;1;18;1;2;2
294;7;5;1;4;22;0;8;6
295;17;10;4;1;28;0;12;6
296;13;10;1;5;20;0;2;4
297;20;5;2;1;25;1;12;5
298;13;4;1;3;20;1;9;4
