Subject;Session;treatment;Payoff;NumberCorrectSlider;pause_count;BDM;slider;internet2;i5;i10;i15;i20;age;male;study;semester;com_change;weekday;Morning;Noon;year;mon;time;fix;pfp;avg_inv;Internet1;Internet2;effort1;effort2;avg_time_task_1;avg_time_task_2
47;3;MoneyGift;14;9;0;15;2;5;5;20;35;40;24;0;5;8;1;1;0;0;2016;1;0;1;0;25;0;1311;42;12;43;38
48;3;MoneyGift;14;12;0;5;1;7;5;15;20;30;21;0;8;6;0;1;0;0;2016;1;0;1;0;18;0;31;37;34;49;50
49;3;MoneyGift;14;28;2;8;1;2;5;15;30;40;19;1;2;1;1;1;0;0;2016;1;0;1;0;23;1342;1751;16;0;28;
50;3;MoneyPfP;12;14;1;10;2;4;10;20;30;40;22;0;1;3;0;1;0;0;2016;1;0;0;1;25;17;122;41;45;43;37
51;3;MoneyPfP;14;7;0;8;1;3;10;20;30;40;30;1;7;12;1;1;0;0;2016;1;0;0;1;25;0;1674;56;3;32;39
52;3;MoneyPfP;16;22;0;7;2;1;9;20;30;43;29;1;8;16;0;1;0;0;2016;1;0;0;1;26;0;1049;76;23;24;30
53;3;MoneyPfP;15;19;0;3;5;6;5;15;25;40;22;0;6;4;0;1;0;0;2016;1;0;0;1;21;0;1378;65;10;27;30
54;3;MoneyPfP;16;21;0;7;2;6;5;10;15;20;25;1;2;1;0;1;0;0;2016;1;0;0;1;13;0;1620;76;6;24;29
55;3;TimePfP;8;12;0;5;1;7;2;3;4;5;22;0;7;2;1;1;0;0;2016;0;1;1;0;4;0;155;49;10;36;38
56;3;TimePfP;8;17;1;4;1;2;7;18;25;40;22;0;8;6;1;1;0;0;2016;0;1;1;0;23;340;542;36;8;39;37
57;3;TimePfP;8;18;0;8;2;3;15;20;25;40;29;1;2;8;1;1;0;0;2016;0;1;1;0;25;0;0;63;8;29;26
58;3;TimePfP;8;20;0;2;3;7;5;20;30;40;23;0;1;2;1;1;0;0;2016;0;1;1;0;24;0;0;59;13;30;24
59;3;TimePfP;8;16;3;10;2;1;15;10;15;20;25;0;2;2;0;1;0;0;2016;0;1;1;0;15;613;407;35;17;34;29
60;3;TimeGift25;8;0;0;15;1;1;0;0;0;20;19;1;2;1;0;1;0;0;2016;0;1;0;1;5;0;0;62;10;29;28
61;3;TimeGift25;8;15;0;4;2;2;5;10;10;10;22;0;2;2;1;1;0;0;2016;0;1;0;1;9;0;0;56;11;32;27
62;3;TimeGift25;8;14;3;4;1;2;10;15;20;30;28;0;9;4;1;1;0;0;2016;0;1;0;1;19;180;0;42;8;38;37
63;3;TimeGift25;8;12;0;5;6;2;8;15;20;20;22;0;7;6;1;1;0;0;2016;0;1;0;1;16;0;0;40;6;44;47
64;3;TimeGift25;8;9;5;5;1;4;5;10;10;10;21;1;1;2;1;1;0;0;2016;0;1;0;1;9;922;0;24;12;34;25
65;4;TimePfP;8;12;3;5;1;4;0;0;0;0;24;1;2;9;0;2;1;0;2016;0;1;1;0;0;310;452;44;3;33;33
66;4;TimePfP;8;5;4;5;1;5;5;10;15;20;24;0;1;3;1;2;1;0;2016;0;1;1;0;13;981;920;24;6;33;40
