Subject;Session;treatment;Payoff;NumberCorrectSlider;pause_count;BDM;slider;internet2;i5;i10;i15;i20;age;male;study;semester;com_change;weekday;Morning;Noon;year;mon;time;fix;pfp;avg_inv;Internet1;Internet2;effort1;effort2;avg_time_task_1;avg_time_task_2
201;10;MoneyPfP2Per;19;18;0;10;2;3;5;5;10;10;23;0;2;2;;1;0;1;2017;0;0;0;0;8;0;0;50;55;36;32
202;10;MoneyPfP2Per;18;11;0;50;2;1;8;15;23;30;21;1;9;2;;1;0;1;2017;0;0;0;0;19;0;0;46;53;38;34
203;10;MoneyPfP2Per;20;21;1;6;6;5;5;10;15;20;19;1;2;3;;1;0;1;2017;0;0;0;0;13;15;38;61;60;29;28
204;10;MoneyPfP2Per;18;17;0;14;1;7;13;20;30;45;24;1;12;10;;1;0;1;2017;0;0;0;0;27;0;0;49;51;35;35
205;10;MoneyPfP2Per;16;9;0;5;1;2;5;10;15;20;20;0;12;3;;1;0;1;2017;0;0;0;0;13;0;471;40;35;45;38
206;10;MoneyPfP2Per;21;16;0;10;1;2;0;5;10;10;20;1;3;1;;1;0;1;2017;0;0;0;0;6;0;0;65;65;28;28
207;10;MoneyPfP2Per;19;12;0;5;3;1;10;20;30;40;21;1;2;3;;1;0;1;2017;0;0;0;0;25;0;0;51;60;35;30
208;11;Baseline;8;16;0;15;2;2;5;5;5;10;26;0;8;4;;1;0;0;2017;0;0;0;0;6;0;0;52;57;34;31
209;11;Baseline;8;25;1;6;1;7;8;16;25;35;26;1;2;10;;1;0;0;2017;0;0;0;0;21;1732;1771;1;1;52;26
210;11;Baseline;8;10;1;6;2;2;10;20;30;40;34;0;5;1;;1;0;0;2017;0;0;0;0;25;111;503;35;34;45;38
211;11;Baseline;8;13;3;10;3;2;7;15;20;30;27;1;2;10;;1;0;0;2017;0;0;0;0;18;455;427;41;39;32;34
212;11;Baseline;8;20;4;8;1;6;10;15;20;25;23;1;1;5;;1;0;0;2017;0;0;0;0;18;1432;1216;12;19;30;29
213;11;MoneyPfP2Per;23;26;0;5;3;3;5;10;15;30;24;1;7;5;;1;0;0;2017;0;0;0;0;15;0;0;73;80;25;22
214;11;MoneyPfP2Per;21;20;0;7;2;3;5;10;10;10;19;0;8;3;;1;0;0;2017;0;0;0;0;9;0;0;61;72;29;25
215;11;MoneyPfP2Per;19;22;0;50;3;1;5;15;25;30;20;0;7;3;;1;0;0;2017;0;0;0;0;19;0;0;56;55;32;32
216;11;MoneyPfP2Per;15;12;0;3;4;6;10;20;30;40;30;0;8;3;;1;0;0;2017;0;0;0;0;25;0;0;36;36;49;49
217;11;MoneyPfP2Per;20;21;0;10;1;5;7;15;20;30;23;0;3;7;;1;0;0;2017;0;0;0;0;18;0;0;53;62;34;29
218;11;MoneyPfP2Per;18;17;0;20;1;1;0;0;0;0;23;0;3;8;;1;0;0;2017;0;0;0;0;0;0;0;47;54;38;33
219;11;Baseline;8;8;1;9;2;2;7;15;20;20;23;0;9;3;;1;0;0;2017;0;0;0;0;16;116;177;51;49;33;32
232;12;Baseline;8;16;1;25;3;6;10;15;20;25;23;1;2;8;;2;1;0;2017;0;0;0;0;18;2;881;51;28;35;33
233;12;Baseline;8;22;0;4;4;5;10;20;30;40;21;0;8;3;;2;1;0;2017;0;0;0;0;25;0;228;54;45;33;35
234;12;Baseline;8;23;0;5;5;2;8;15;20;25;21;0;7;3;;2;1;0;2017;0;0;0;0;17;0;4;72;80;25;22
235;12;Baseline;8;16;0;5;1;4;5;10;15;20;25;0;12;7;;2;1;0;2017;0;0;0;0;13;0;0;59;68;30;26
236;12;Baseline;8;13;5;8;1;6;0;0;15;20;22;1;2;7;;2;1;0;2017;0;0;0;0;9;1379;1472;12;8;35;37
237;12;MoneyPfP2Per;12;8;3;6;3;7;8;15;20;35;22;0;8;8;;2;1;0;2017;0;0;0;0;19;527;1504;32;7;40;42
238;12;MoneyPfP2Per;18;13;0;9;1;1;10;20;30;40;19;0;1;2;;2;1;0;2017;0;0;0;0;25;0;0;48;53;37;33
239;12;MoneyPfP2Per;19;16;1;7;3;1;10;20;30;40;21;1;3;5;;2;1;0;2017;0;0;0;0;25;24;0;51;62;35;29
240;12;MoneyPfP2Per;22;22;0;4;5;7;5;20;25;40;25;0;2;7;;2;1;0;2017;0;0;0;0;23;0;0;71;73;25;24
241;12;MoneyPfP2Per;21;19;0;8;1;7;5;10;15;20;26;1;6;3;;2;1;0;2017;0;0;0;0;13;0;0;63;71;28;25
242;12;Baseline;8;12;0;13;2;7;10;15;10;40;22;1;1;1;;2;1;0;2017;0;0;0;0;19;0;22;49;52;37;34
243;12;Baseline;8;27;1;6;1;3;8;20;30;40;23;1;2;1;;2;1;0;2017;0;0;0;0;24;1793;1795;0;0;;
244;12;Baseline;8;23;0;7;2;5;0;0;0;0;24;1;1;9;;2;1;0;2017;0;0;0;0;0;0;145;59;56;30;29
245;12;Baseline;8;3;2;10;2;2;10;20;30;40;21;1;2;4;;2;1;0;2017;0;0;0;0;25;372;370;25;34;56;41
246;12;Baseline;8;19;3;6;3;6;10;20;25;40;25;1;8;9;;2;1;0;2017;0;0;0;0;24;679;299;40;48;28;31
247;12;MoneyPfP2Per;23;25;0;5;1;3;10;20;30;40;24;0;6;9;;2;1;0;2017;0;0;0;0;25;0;0;68;79;26;23
248;12;MoneyPfP2Per;22;25;0;4;1;2;5;5;5;0;21;1;9;5;;2;1;0;2017;0;0;0;0;4;0;0;66;71;27;25
249;12;MoneyPfP2Per;25;24;0;6;3;2;1;3;7;10;24;1;6;7;;2;1;0;2017;0;0;0;0;5;0;0;80;85;22;21
250;12;MoneyPfP2Per;23;19;0;5;6;1;10;20;30;40;29;1;5;8;;2;1;0;2017;0;0;0;0;25;0;0;71;78;25;23
251;12;MoneyPfP2Per;18;8;0;15;1;1;5;10;10;10;24;0;8;7;;2;1;0;2017;0;0;0;0;9;0;0;50;53;36;33
252;12;MoneyPfP2Per;18;13;0;5;2;2;7;15;25;30;31;0;5;8;;2;1;0;2017;0;0;0;0;19;0;0;49;54;36;33
253;13;Baseline;8;25;2;7;1;3;0;0;0;0;24;1;3;2;;2;0;1;2017;0;0;0;0;0;1693;1701;1;2;57;44
254;13;Baseline;8;25;1;5;2;4;10;20;30;40;21;0;9;3;;2;0;1;2017;0;0;0;0;25;1689;1763;3;0;37;
255;13;Baseline;8;16;0;5;6;3;5;10;15;20;20;1;9;5;;2;0;1;2017;0;0;0;0;13;0;0;56;65;32;28
256;13;Baseline;8;31;0;5;4;1;5;20;25;30;34;1;7;10;;2;0;1;2017;0;0;0;0;20;0;0;55;58;33;31
257;13;Baseline;8;16;0;8;5;1;8;15;25;30;23;0;4;1;;2;0;1;2017;0;0;0;0;20;0;0;58;66;31;27
258;13;MoneyPfP2Per;17;9;2;5;4;1;10;20;26;40;24;0;9;4;;2;0;1;2017;0;0;0;0;24;78;228;43;42;40;37
259;13;MoneyPfP2Per;24;5;0;5;7;3;0;10;10;20;27;1;9;4;;2;0;1;2017;0;0;0;0;10;0;0;67;88;27;20
260;13;MoneyPfP2Per;17;6;0;9;1;2;5;15;20;30;23;0;8;6;;2;0;1;2017;0;0;0;0;18;0;0;44;49;41;36
261;13;MoneyPfP2Per;22;20;0;7;6;6;10;20;30;40;24;1;6;9;;2;0;1;2017;0;0;0;0;25;0;0;67;74;27;24
262;13;MoneyPfP2Per;23;22;0;8;3;2;5;20;30;40;23;0;11;0;;2;0;1;2017;0;0;0;0;24;0;0;74;78;24;23
263;13;Baseline;8;11;1;6;1;3;10;20;30;40;29;0;3;6;;2;0;1;2017;0;0;0;0;25;1690;1661;1;2;107;69
274;14;Baseline;8;19;2;5;2;3;8;15;20;30;20;0;9;2;;2;0;0;2017;0;0;0;0;18;94;79;41;58;41;29
275;14;Baseline;8;16;0;5;1;7;5;15;20;25;23;0;3;2;;2;0;0;2017;0;0;0;0;16;0;126;43;49;41;34
276;14;Baseline;8;6;2;4;1;4;10;20;30;40;22;0;9;5;;2;0;0;2017;0;0;0;0;25;949;1598;13;4;63;38
277;14;Baseline;8;12;0;5;6;4;8;20;30;40;52;0;4;4;;2;0;0;2017;0;0;0;0;25;0;0;46;49;39;36
278;14;Baseline;8;11;2;5;1;4;10;20;30;40;19;1;1;1;;2;0;0;2017;0;0;0;0;25;1178;1134;13;16;46;41
279;14;MoneyPfP2Per;18;4;0;5;4;1;5;10;15;30;23;0;12;9;;2;0;0;2017;0;0;0;0;15;0;0;49;54;37;33
280;14;MoneyPfP2Per;20;13;0;3;6;6;10;15;20;30;19;1;3;4;;2;0;0;2017;0;0;0;0;19;0;0;54;63;33;28
281;14;MoneyPfP2Per;23;23;0;9;1;2;0;0;0;0;25;1;2;10;;2;0;0;2017;0;0;0;0;0;0;0;66;79;27;22
282;14;MoneyPfP2Per;23;23;0;5;2;4;10;20;30;40;22;0;7;7;;2;0;0;2017;0;0;0;0;25;0;0;71;77;25;23
283;14;MoneyPfP2Per;20;20;0;20;1;1;5;10;25;30;18;1;2;2;;2;0;0;2017;0;0;0;0;18;0;0;64;60;28;30
294;15;Baseline35;8;7;0;5;1;4;5;10;15;20;22;0;8;6;;2;1;0;2017;0;0;0;0;13;0;0;49;9;36;30
295;15;Baseline35;8;17;0;10;4;1;2;5;5;5;28;0;12;6;;2;1;0;2017;0;0;0;0;4;0;0;53;10;34;29
296;15;Baseline35;8;13;2;10;1;5;5;15;25;40;20;0;2;4;;2;1;0;2017;0;0;0;0;21;155;225;14;1;82;48
297;15;Baseline35;8;20;0;5;2;1;5;10;15;20;25;1;12;5;;2;1;0;2017;0;0;0;0;13;0;0;69;12;26;25
298;15;Baseline35;8;13;0;4;1;3;5;10;15;20;20;1;9;4;;2;1;0;2017;0;0;0;0;13;0;0;54;10;33;29
299;15;Baseline35;8;17;2;7;1;3;10;20;30;40;21;1;2;4;;2;1;0;2017;0;0;0;0;25;474;0;52;9;25;32
300;15;Baseline35;8;16;1;5;4;1;10;20;30;45;23;0;8;4;;2;1;0;2017;0;0;0;0;26;275;0;46;11;32;27
301;15;Baseline35;8;19;0;4;5;4;8;15;20;30;23;0;8;7;;2;1;0;2017;0;0;0;0;18;0;0;63;11;28;27
302;15;Baseline35;8;19;0;7;3;3;5;10;15;20;20;1;2;3;;2;1;0;2017;0;0;0;0;13;0;0;78;13;23;21
303;15;Baseline35;8;17;0;10;3;5;5;10;15;20;21;1;9;6;;2;1;0;2017;0;0;0;0;13;0;0;42;7;42;40
304;15;Baseline35;8;12;12;6;2;1;5;10;15;20;21;0;7;4;;2;1;0;2017;0;0;0;0;13;656;63;30;6;36;35
305;15;Baseline35;8;20;2;6;1;2;5;15;25;30;25;1;2;11;;2;1;0;2017;0;0;0;0;19;1583;171;6;4;32;31
306;15;Baseline35;8;22;3;5;1;1;8;15;20;30;21;0;2;5;;2;1;0;2017;0;0;0;0;18;437;0;40;13;33;23
307;15;Baseline35;8;16;1;10;1;2;6;15;20;30;24;0;12;10;;2;1;0;2017;0;0;0;0;18;1503;1747;6;1;49;52
308;16;Baseline35;8;30;2;6;1;1;3;6;8;10;20;0;7;4;;2;0;1;2017;0;0;0;0;7;671;0;41;11;27;26
309;16;Baseline35;8;8;4;10;1;4;0;0;0;0;20;1;9;4;;2;0;1;2017;0;0;0;0;0;1349;1661;5;3;85;41
310;16;Baseline35;8;13;0;7;7;2;10;25;30;40;21;0;7;1;;2;0;1;2017;0;0;0;0;26;0;0;38;7;47;42
311;16;Baseline35;8;17;1;5;1;6;7;15;25;35;20;0;4;8;;2;0;1;2017;0;0;0;0;21;14;0;41;9;43;32
312;16;Baseline35;8;26;0;10;1;2;0;0;0;0;20;1;1;2;;2;0;1;2017;0;0;0;0;0;0;0;63;11;28;26
313;16;Baseline35;8;20;0;4;3;2;1;1;1;1;19;0;7;2;;2;0;1;2017;0;0;0;0;1;0;0;58;10;31;30
314;16;Baseline35;8;22;2;5;1;6;10;20;30;40;22;1;6;2;;2;0;1;2017;0;0;0;0;25;273;3;53;9;29;31
315;16;Baseline35;8;15;1;7;1;7;2;5;10;12;24;0;12;10;;2;0;1;2017;0;0;0;0;7;575;0;39;11;31;27
316;16;Baseline35;8;8;0;10;6;4;2;2;2;2;21;0;7;2;;2;0;1;2017;0;0;0;0;2;0;0;37;6;48;42
317;16;Baseline35;8;21;0;4;2;2;6;8;10;12;24;0;7;9;;2;0;1;2017;0;0;0;0;9;0;0;62;10;29;29
318;16;Baseline35;8;22;1;4;5;5;10;20;30;40;21;0;8;4;;2;0;1;2017;0;0;0;0;25;17;0;65;10;27;28
319;16;Baseline35;8;15;0;20;3;3;5;3;5;10;26;1;12;8;;2;0;1;2017;0;0;0;0;6;0;0;61;10;29;30
320;16;Baseline35;8;20;0;5;5;2;8;15;25;30;21;0;7;4;;2;0;1;2017;0;0;0;0;20;0;0;58;11;31;26
321;16;Baseline35;8;8;3;10;1;7;0;0;10;20;27;0;5;12;;2;0;1;2017;0;0;0;0;8;1164;250;11;1;55;36
322;17;Baseline35;8;18;0;10;6;7;10;20;30;40;20;1;6;2;;2;0;0;2017;0;0;0;0;25;0;0;67;10;27;29
323;17;Baseline35;8;19;0;15;1;2;8;15;25;35;20;0;7;2;;2;0;0;2017;0;0;0;0;21;0;0;55;10;33;29
324;17;Baseline35;8;19;0;10;7;1;0;0;0;0;20;1;1;4;;2;0;0;2017;0;0;0;0;0;0;0;57;11;31;26
325;17;Baseline35;8;13;1;7;2;3;10;20;30;40;21;1;1;2;;2;0;0;2017;0;0;0;0;25;10;0;59;10;30;28
326;17;Baseline35;8;15;4;6;1;3;5;8;12;15;23;1;1;6;;2;0;0;2017;0;0;0;0;10;1095;107;21;6;32;31
327;17;Baseline35;8;14;1;15;1;7;10;15;10;25;23;0;6;2;;2;0;0;2017;0;0;0;0;15;597;0;40;9;29;31
328;17;Baseline35;8;18;3;12;3;6;0;0;15;15;22;0;8;6;;2;0;0;2017;0;0;0;0;8;671;0;31;10;36;28
329;17;Baseline35;8;13;3;20;1;4;5;10;15;20;21;0;12;4;;2;0;0;2017;0;0;0;0;13;1652;122;3;4;35;39
330;17;Baseline35;8;16;3;8;1;7;5;5;10;20;21;0;7;2;;2;0;0;2017;0;0;0;0;10;14;0;52;9;34;32
331;17;Baseline35;8;19;0;6;5;5;10;20;30;40;19;0;7;2;;2;0;0;2017;0;0;0;0;25;0;0;63;11;28;26
332;17;Baseline35;8;20;0;5;3;3;5;15;25;30;23;1;2;2;;2;0;0;2017;0;0;0;0;19;0;0;63;10;29;28
333;18;TimeGift10;8;14;0;4;1;2;5;10;15;20;25;0;8;10;0;;0;1;2019;0;0;0;0;13;0;0;57;36;31;32
334;18;TimeGift10;8;13;0;6;3;5;8;25;25;40;27;1;11;0;0;;0;1;2019;0;0;0;0;25;0;0;58;40;30;29
335;18;TimeGift10;8;4;1;4;1;3;5;15;25;35;42;0;8;1;0;;0;1;2019;0;0;0;0;20;1602;1103;4;1;45;47
336;18;TimeGift10;8;10;0;3;5;6;10;20;30;40;28;1;3;14;0;;0;1;2019;0;0;0;0;25;0;0;55;37;33;31
337;18;TimeGift10;8;16;3;5;2;1;5;10;15;20;19;0;9;2;0;;0;1;2019;0;0;0;0;13;28;424;73;31;24;25
338;18;TimeGift10;8;16;1;10;1;4;5;10;15;20;19;1;6;2;0;;0;1;2019;0;0;0;0;13;800;1190;25;0;40;
339;18;TimeGift10;8;5;0;1;1;5;10;20;30;40;21;0;7;6;0;;0;1;2019;0;0;0;0;25;0;0;50;35;36;34
340;18;TimeGift10;8;14;0;5;1;1;0;0;0;0;22;0;8;8;0;;0;1;2019;0;0;0;0;0;0;0;35;30;50;39
341;18;TimeGift10;8;21;1;12;1;6;8;15;16;25;26;0;2;11;1;;0;1;2019;0;0;0;0;16;15;605;61;21;29;27
342;18;TimeGift10;8;15;0;8;4;2;10;20;30;40;28;0;5;1;0;;0;1;2019;0;0;0;0;25;0;0;60;41;30;29
343;18;TimeGift40;8;7;2;12;1;2;7;15;25;35;22;0;8;7;1;;0;1;2019;0;0;0;0;21;160;0;23;0;44;
344;18;TimeGift40;8;17;0;3;2;7;10;20;30;35;23;0;11;0;0;;0;1;2019;0;0;0;0;24;0;0;38;0;31;
345;18;TimeGift40;8;18;1;15;1;7;0;0;0;0;22;1;1;6;0;;0;1;2019;0;0;0;0;0;1094;0;3;0;34;
346;18;TimeGift40;8;17;0;5;4;2;10;20;30;40;26;0;2;8;0;;0;1;2019;0;0;0;0;25;0;0;28;0;43;
347;18;TimeGift40;8;20;1;3;4;5;10;20;25;30;21;0;1;4;0;;0;1;2019;0;0;0;0;21;345;0;30;0;28;
348;18;TimeGift40;8;12;4;5;3;2;10;30;10;30;26;0;9;1;0;;0;1;2019;0;0;0;0;20;245;0;26;0;36;
349;18;TimeGift40;8;24;0;10;1;7;5;15;45;80;22;1;6;8;0;;0;1;2019;0;0;0;0;36;0;0;45;0;27;
350;18;TimeGift40;8;20;4;6;1;2;10;20;30;40;19;0;4;4;0;;0;1;2019;0;0;0;0;25;98;0;33;0;33;
351;19;TimeGift10;8;6;6;10;7;3;5;6;10;15;27;0;9;10;0;;0;0;2019;0;0;0;0;9;132;50;46;32;36;34
352;19;TimeGift10;8;12;1;5;6;2;5;15;20;30;29;0;7;15;0;;0;0;2019;0;0;0;0;18;30;174;46;29;38;33
353;19;TimeGift10;8;17;0;10;4;5;5;10;15;20;23;1;3;6;0;;0;0;2019;0;0;0;0;13;0;450;62;27;29;27
354;19;TimeGift10;8;24;0;12;2;3;5;10;15;20;22;1;9;9;1;;0;0;2019;0;0;0;0;13;0;383;73;28;24;26
355;19;TimeGift10;8;16;0;10;2;6;10;20;30;40;26;0;6;13;0;;0;0;2019;0;0;0;0;25;0;437;44;18;40;41
356;19;TimeGift10;8;19;0;15;2;2;0;5;10;15;19;1;2;2;0;;0;0;2019;0;0;0;0;8;0;0;73;57;25;21
357;19;TimeGift10;8;13;0;8;4;2;10;20;30;40;21;0;8;4;0;;0;0;2019;0;0;0;0;25;0;0;42;29;42;40
358;19;TimeGift10;8;17;2;4;2;4;2;5;10;20;24;0;6;10;0;;0;0;2019;0;0;0;0;9;300;279;42;28;35;32
359;19;TimeGift10;8;6;5;5;1;4;20;20;20;20;23;0;5;11;0;;0;0;2019;0;0;0;0;20;183;811;34;8;47;43
360;19;TimeGift10;8;13;0;5;1;7;10;20;30;40;24;0;6;4;1;;0;0;2019;0;0;0;0;25;0;820;51;11;35;33
361;19;TimeGift40;8;16;0;6;1;5;2;6;13;18;22;0;9;5;0;;0;0;2019;0;0;0;0;10;0;0;38;0;31;
362;19;TimeGift40;8;7;2;9;1;1;5;10;15;30;22;0;2;5;0;;0;0;2019;0;0;0;0;15;392;0;18;0;41;
363;19;TimeGift40;8;22;0;10;1;7;0;0;0;0;21;1;2;4;1;;0;0;2019;0;0;0;0;0;0;0;43;0;28;
364;19;TimeGift40;8;14;0;5;2;4;8;16;27;32;24;0;6;6;0;;0;0;2019;0;0;0;0;21;0;0;34;0;35;
365;19;TimeGift40;8;23;0;5;2;1;10;20;30;40;26;1;9;4;1;;0;0;2019;0;0;0;0;25;0;0;41;0;29;
366;19;TimeGift40;8;11;1;15;1;1;10;20;30;40;19;0;6;2;0;;0;0;2019;0;0;0;0;25;270;0;21;0;44;
367;19;TimeGift40;8;22;0;3;1;1;5;5;10;12;20;0;2;3;1;;0;0;2019;0;0;0;0;8;0;0;35;0;34;
368;19;TimeGift40;8;17;0;4;2;2;10;25;35;45;19;0;7;4;0;;0;0;2019;0;0;0;0;29;0;0;40;0;30;
369;19;TimeGift40;8;20;0;5;6;5;10;15;20;30;23;0;2;2;0;;0;0;2019;0;0;0;0;19;0;0;53;0;22;
370;19;TimeGift40;8;14;1;15;1;4;10;20;30;40;21;1;11;0;0;;0;0;2019;0;0;0;0;25;34;0;43;0;27;
371;19;TimeGift40;8;16;0;7;1;1;10;25;35;40;19;1;2;2;0;;0;0;2019;0;0;0;0;28;0;0;39;0;30;
372;20;TimeGift10;8;7;0;10;2;1;10;20;25;40;22;0;8;6;0;;0;1;2019;0;0;0;0;24;0;0;45;32;40;37
373;20;TimeGift10;8;18;1;5;2;7;5;10;15;20;27;1;8;11;0;;0;1;2019;0;0;0;0;13;1690;1088;2;2;43;51
374;20;TimeGift10;8;19;0;7;3;2;7;15;25;40;20;1;1;3;0;;0;1;2019;0;0;0;0;22;0;1172;71;1;25;24
375;20;TimeGift10;8;20;0;2;5;1;10;20;30;40;21;0;8;3;0;;0;1;2019;0;0;0;0;25;0;0;62;36;29;33
376;20;TimeGift10;8;8;0;10;1;3;10;20;30;40;24;0;8;11;1;;0;1;2019;0;0;0;0;25;0;367;42;23;42;35
377;20;TimeGift10;8;20;0;2;3;1;5;10;15;20;24;0;2;6;0;;0;1;2019;0;0;0;0;13;0;0;63;45;28;27
378;20;TimeGift10;8;20;1;5;1;2;0;0;0;0;22;1;9;10;1;;0;1;2019;0;0;0;0;0;179;143;60;40;27;26
379;20;TimeGift10;8;16;0;8;1;2;3;7;13;20;26;0;9;13;0;;0;1;2019;0;0;0;0;11;0;0;59;42;30;28
380;20;TimeGift10;8;13;1;4;3;3;10;20;30;40;21;0;1;4;0;;0;1;2019;0;0;0;0;25;4;0;44;37;40;32
381;20;TimeGift10;8;7;2;5;1;6;5;10;15;20;21;0;7;2;0;;0;1;2019;0;0;0;0;13;58;34;46;31;37;37
382;20;TimeGift40;8;12;0;12;1;1;5;10;15;20;25;0;7;11;1;;0;1;2019;0;0;0;0;13;0;0;33;0;36;
383;20;TimeGift40;8;12;2;4;4;1;10;20;30;40;18;0;10;0;0;;0;1;2019;0;0;0;0;25;33;0;30;0;38;
384;20;TimeGift40;8;12;3;7;1;5;0;0;0;0;30;0;3;2;0;;0;1;2019;0;0;0;0;0;43;0;27;0;41;
385;20;TimeGift40;8;23;0;5;2;2;5;10;15;27;31;1;11;0;0;;0;1;2019;0;0;0;0;14;0;0;39;0;31;
386;20;TimeGift40;8;12;2;2;1;3;10;20;30;40;25;0;9;8;1;;0;1;2019;0;0;0;0;25;131;0;27;0;39;
387;20;TimeGift40;8;21;0;5;2;2;8;18;25;35;19;1;2;2;0;;0;1;2019;0;0;0;0;22;0;0;46;0;26;
388;20;TimeGift40;8;12;0;10;1;5;6;11;16;21;22;1;2;2;0;;0;1;2019;0;0;0;0;14;0;0;29;0;41;
389;20;TimeGift40;8;12;0;3;6;2;5;10;25;30;21;0;1;8;0;;0;1;2019;0;0;0;0;18;0;0;37;0;33;
390;20;TimeGift40;8;23;0;10;6;6;10;20;30;40;27;1;7;14;0;;0;1;2019;0;0;0;0;25;0;0;48;0;25;
391;20;TimeGift40;8;21;0;15;1;1;5;5;15;20;22;0;6;2;0;;0;1;2019;0;0;0;0;11;0;0;49;0;24;
392;20;TimeGift40;8;14;0;6;1;3;0;0;0;40;25;1;9;11;1;;0;1;2019;0;0;0;0;10;0;0;31;0;38;
393;20;TimeGift40;8;10;1;9;1;2;7;12;18;20;24;0;2;4;1;;0;1;2019;0;0;0;0;14;465;0;17;0;43;
394;21;TimeGift10;8;20;0;12;5;6;10;15;20;25;20;1;8;2;1;;0;0;2019;0;0;0;0;18;0;0;64;43;28;28
395;21;TimeGift10;8;16;0;2;3;3;5;10;25;30;18;0;6;2;0;;0;0;2019;0;0;0;0;18;0;0;53;39;34;30
396;21;TimeGift10;8;15;4;8;1;6;5;15;20;30;21;1;2;2;0;;0;0;2019;0;0;0;0;18;552;385;38;27;33;29
397;21;TimeGift10;8;15;0;10;6;3;10;20;25;40;20;0;5;4;0;;0;0;2019;0;0;0;0;24;0;0;40;28;44;43
398;21;TimeGift10;8;16;0;4;1;2;0;0;0;0;20;0;2;7;1;;0;0;2019;0;0;0;0;0;0;128;49;23;36;44
399;21;TimeGift10;8;21;1;5;7;3;10;20;30;40;20;0;1;2;0;;0;0;2019;0;0;0;0;25;7;22;53;39;34;30
400;21;TimeGift10;8;16;1;3;1;1;20;30;40;50;20;0;8;1;0;;0;0;2019;0;0;0;0;35;3;0;57;40;31;30
401;21;TimeGift10;8;31;1;8;2;5;10;20;30;40;26;1;2;7;0;;0;0;2019;0;0;0;0;25;245;0;58;32;27;36
402;21;TimeGift10;8;20;4;8;1;5;5;10;15;20;22;0;1;8;0;;0;0;2019;0;0;0;0;13;78;20;57;44;30;26
403;21;TimeGift40;8;4;0;20;6;1;2;5;5;10;30;0;6;2;0;;0;0;2019;0;0;0;0;6;0;0;25;0;48;
404;21;TimeGift40;8;13;1;6;1;4;0;0;0;0;28;1;9;13;1;;0;0;2019;0;0;0;0;0;789;0;11;0;37;
405;21;TimeGift40;8;16;2;8;1;2;10;20;35;40;26;0;9;11;0;;0;0;2019;0;0;0;0;26;558;0;19;0;33;
406;21;TimeGift40;8;12;0;8;3;6;10;20;30;40;22;1;9;1;0;;0;0;2019;0;0;0;0;25;0;0;27;0;43;
407;21;TimeGift40;8;13;0;3;2;2;5;15;27;40;19;1;1;2;0;;0;0;2019;0;0;0;0;22;0;0;32;0;37;
408;21;TimeGift40;8;17;0;3;3;3;0;0;10;10;30;1;7;3;0;;0;0;2019;0;0;0;0;5;0;0;39;0;30;
409;21;TimeGift40;8;17;0;10;2;2;10;20;30;40;24;0;11;9;1;;0;0;2019;0;0;0;0;25;0;0;36;0;33;
410;21;TimeGift40;8;6;0;6;3;4;5;15;20;30;18;1;10;0;0;;0;0;2019;0;0;0;0;18;0;0;21;0;56;
411;21;TimeGift40;8;11;0;4;5;4;8;15;25;30;25;1;2;4;0;;0;0;2019;0;0;0;0;19;0;0;35;0;33;
412;21;TimeGift40;8;17;0;8;5;3;10;15;20;30;21;0;2;4;0;;0;0;2019;0;0;0;0;19;0;0;33;0;36;
